# E F F_up F_low
# Auger 2009 
# 
# E = E in eV
# F = Flux in (m^2 sr s ev)^-1
# F_low = lower error
# F_up = upper error
# 
3548133892335760000 7.55092227665428E-032 1.58112413989966E-033 1.54869526071967E-033
4466835921509620000 3.70680721782578E-032 8.63426319110731E-034 9.27085914296216E-034
5623413251903490000 1.76603782068616E-032 5.3663037923826E-034 5.20805131777456E-034
7079457843841400000 8.37529282126873E-033 3.14311471594153E-034 3.21508409278146E-034
8912509381337440000 3.97191549469444E-033 1.96778340008961E-034 1.96193585440231E-034
11220184543019700000 2.19785987278482E-033 1.30231384880175E-034 1.27718523993782E-034
14125375446227500000 1.02329299228077E-033 7.82463172606616E-035 7.70558309149598E-035
17782794100389200000 6.02559586074359E-034 5.50982512810633E-035 5.42826211535046E-035
22387211385683500000 2.7925438412373E-034 3.26345742856582E-035 3.26504504002986E-035
28183829312644500000 1.65196179822903E-034 2.2735501857426E-035 2.26354204626829E-035
35481338923357600000 1.0327614057614E-034 1.58480602265981E-035 1.59790037373286E-035
44668359215096200000 5.6493697481231E-035 1.04947634604228E-035 1.04680401230946E-035
56234132519034900000 1.71395730750843E-035 6.84875611511073E-036 5.08921367136626E-036
70794578438414000000 1.21059813355047E-035 5.15239758439715E-036 3.74995115319233E-036
89125093813374400000 2.84446110744792E-036 2.7531149075032E-036 1.54429152941463E-036
112201845430197000000 4.61317574560377E-036 2.74889522934354E-036 2.26858897345229E-036
141253754462275000000 1.82389570231965E-036 1.76532364413043E-036 9.9021451770001E-037
177827941003892000000 1.06905487922266E-036 'nan' 'nan'
223872113856835000000 7.48169500511146E-037 9.81646858703939E-037 4.82096994531269E-037
281838293126445000000 6.71428852925955E-037 'nan' 'nan'

