# E F F_up F_low
# AMS 2000
# 
# E = E in eV
# F = Flux in (m^2 sr s ev)^-1
# F_low = lower error
# F_up = upper error
# 
49200000000 3.21E-010 3E-012 3E-012
77900000000 8.9E-011 5E-013 5E-013
123000000000 2.5E-011 1E-013 1E-013
196000000000 7.07E-012 5E-014 5E-014
310000000000 2.01E-012 2E-014 2E-014
492000000000 5.95E-013 7E-015 7E-015
779000000000 1.78E-013 3E-015 3E-015
1230000000000 5.24E-014 1.4E-015 1.4E-015
1960000000000 1.58E-014 5E-016 5E-016
3100000000000 4.83E-015 2.3E-016 2.3E-016
4920000000000 1.4E-015 1E-016 1E-016
7790000000000 4.23E-016 3.9E-017 3.9E-017
12300000000000 1.37E-016 1.5E-017 1.5E-017
19600000000000 3.89E-017 7E-018 7E-018
31000000000000 9.16E-018 2.48E-018 2.48E-018
