# E F F_up F_low
#  Auger 2009 
#  
#  E = E in eV
#  F = Flux in (m^2 sr s ev)^-1
#  F_low = lower error
#  F_up = upper error
# 
1.122018454301965312e+18 9.647969660000000537e-31 6.133098799999999528e-32 6.133098799999999528e-32
1.412537544622749696e+18 4.614291510000000276e-31 2.937316599999999976e-32 2.937316599999999976e-32
1.778279410038922752e+18 1.869869260000000017e-31 1.312302199999999981e-32 1.312302199999999981e-32
2.238721138568346880e+18 1.048143049999999970e-31 7.729725999999999391e-33 7.729725999999999391e-33
2.818382931264449024e+18 4.250628900000000269e-32 3.705170000000000212e-34 3.705170000000000212e-34
3.548133892335760384e+18 2.065592899999999987e-32 2.334859999999999923e-34 2.334859999999999923e-34
4.466835921509616640e+18 1.052391500000000056e-32 1.522489999999999908e-34 1.522489999999999908e-34
5.623413251903491072e+18 5.713434000000000011e-33 1.005869999999999996e-34 1.005869999999999996e-34
7.079457843841401856e+18 3.166273999999999790e-33 6.740799999999999732e-35 6.740799999999999732e-35
8.912509381337440256e+18 1.750224999999999959e-33 4.489300000000000127e-35 4.489300000000000127e-35
1.122018454301965312e+19 9.985040000000000770e-34 3.024100000000000054e-35 3.024100000000000054e-35
1.412537544622749696e+19 5.253569999999999730e-34 1.987099999999999946e-35 1.987099999999999946e-35
1.778279410038922854e+19 2.684750000000000182e-34 1.246800000000000112e-35 1.246800000000000112e-35
2.238721138568346829e+19 1.516579999999999916e-34 8.418000000000000171e-36 8.418000000000000171e-36
2.818382931264449331e+19 7.535200000000000440e-35 5.328000000000000023e-36 5.328000000000000023e-36
3.548133892335760589e+19 3.223099999999999738e-35 3.076000000000000031e-36 3.076000000000000031e-36
4.466835921509616845e+19 1.002499999999999933e-35 1.514999999999999966e-36 1.514999999999999966e-36
5.623413251903490458e+19 5.043999999999999931e-36 9.439999999999999724e-37 9.439999999999999724e-37
7.079457843841402470e+19 3.231000000000000090e-36 6.609999999999999847e-37 6.609999999999999847e-37
8.912509381337440256e+19 5.419999999999999888e-37 3.019999999999999979e-37 2.410000000000000112e-37
1.122018454301965353e+20 1.669999999999999900e-37 1.860000000000000002e-37 1.040000000000000044e-37
1.412537544622749614e+20 8.099999999999999639e-38 'nan' 'nan'
1.778279410038922936e+20 4.900000000000000388e-38 3.600000000000000459e-38 3.099999999999999830e-38
2.238721138568346993e+20 4.699999999999999978e-38 'nan' 'nan'
2.818382931264449085e+20 3.600000000000000072e-38 'nan' 'nan'
