# E F F_up F_low
# Auger 2011 
#
# E = E in eV
# F = Flux in (m^2 sr s ev)^-1
# F_low = lower error
# F_up = upper error
# 
1122018454301970000 9.62196111237863E-031 3.70192917078612E-032 3.70192917078612E-032
1412537544622750000 4.91757928359571E-031 1.94598765432099E-032 1.94598765432099E-032
1778279410038920000 2.19864628488858E-031 9.78122544173194E-033 9.78122544173194E-033
2238721138568350000 1.01434836616219E-031 5.21373615230563E-033 5.21373615230563E-033
2818382931264450000 4.84133774431516E-032 3.08191370699926E-034 3.08191370699926E-034
3548133892335760000 2.28671381854133E-032 1.91408091870104E-034 1.91408091870104E-034
4466835921509620000 1.14923188075139E-032 1.24141569701118E-034 1.24141569701118E-034
5623413251903490000 5.98248916267397E-033 8.01125560879154E-035 8.01125560879154E-035
7079457843841400000 3.21028848835146E-033 5.28066139376885E-035 5.28066139376885E-035
8912509381337440000 1.85577166831445E-033 3.59463330544782E-035 3.59463330544782E-035
11220184543019700000 1.03796232920121E-033 2.39757459375871E-035 2.39757459375871E-035
14125375446227500000 5.22105610059067E-034 1.54566887215758E-035 1.54566887215758E-035
17782794100389200000 2.62096927523006E-034 9.54822293203539E-036 9.54822293203539E-036
22387211385683500000 1.50403072476994E-034 6.50157172915558E-036 6.50157172915558E-036
28183829312644500000 6.76673764798337E-035 3.93974826983041E-036 3.93974826983041E-036
35481338923357600000 2.98115826298578E-035 2.27072400943037E-036 2.27072400943037E-036
44668359215096200000 1.00783329530763E-035 1.19607954977565E-036 1.19607954977565E-036
56234132519034900000 5.14763480112556E-036 7.27219433670494E-037 7.27219433670494E-037
70794578438414000000 2.19563908535503E-036 4.12892615408016E-037 4.12892615408016E-037
89125093813374400000 1.98176667427181E-037 1.51477615534768E-037 1.24533868228256E-037
112201845430197000000 1.01542892995665E-037 1.13896810910842E-037 6.36410880421832E-038
141253754462275000000 3.89278652369001E-038 6.79646107435293E-038 2.43975143863919E-038
177827941003892000000 3.79423657058838E-038 'nan' 'nan'
223872113856835000000 1.02914036555378E-038 'nan' 'nan'
281838293126445000000 2.78722716556392E-039 'nan' 'nan'

