# E F F_up F_low
# CAPRICE Helium
#  
#  E = E in eV
#  F = Flux in (m^2 sr s ev)^-1
#  F_low = lower error
#  F_up = upper error
# 

910000000 0.000000091 0.00000002 0.00000002
1030000000 0.000000076 0.000000011 0.000000011
1150000000 0.000000072 0.000000007 0.000000007
1290000000 0.000000057 0.000000004 0.000000004
1440000000 0.000000056 0.000000003 0.000000003
1600000000 4.78E-008 1.6E-009 1.6E-009
1780000000 3.96E-008 0.000000001 0.000000001
1980000000 3.13E-008 9E-010 9E-010
2200000000 2.75E-008 8E-010 8E-010
2440000000 2.07E-008 6E-010 6E-010
2690000000 1.79E-008 5E-010 5E-010
2970000000 1.49E-008 5E-010 5E-010
3280000000 1.24E-008 4E-010 4E-010
3610000000 9.9E-009 3E-010 3E-010
3970000000 7.9E-009 3E-010 3E-010
4640000000 5.72E-009 1.7E-010 1.7E-010
5630000000 3.93E-009 1.4E-010 1.4E-010
8440000000 1.42E-009 4E-011 4E-011
14400000000 3.73E-010 1.7E-011 1.7E-011
21300000000 1.42E-010 8E-012 8E-012
31400000000 4.8E-011 4E-012 4E-012
46100000000 1.82E-011 2E-012 2E-012
67500000000 6.3E-012 1E-012 1E-012
99600000000 1.7E-012 4E-013 4E-013
144000000000 6.9E-013 2.2E-013 2.2E-013




