# E F F_up F_low
# CAPRICE protons
#  
#  E = E in eV
#  F = Flux in (m^2 sr s ev)^-1
#  F_low = lower error
#  F_up = upper error
# 

3240000000 0.000000185 0.000000011 0.00000001
3600000000 0.000000167 0.000000007 0.000000005
3990000000 0.000000138 0.000000004 0.000000002
4410000000 0.000000109 0.000000003 0.000000001
4870000000 9.02E-008 2.6E-009 1.1E-009
5380000000 7.27E-008 2.1E-009 9E-010
5930000000 0.00000006 1.7E-009 8E-010
6530000000 4.92E-008 1.4E-009 7E-010
7190000000 4.02E-008 1.2E-009 6E-010
7900000000 3.09E-008 9E-010 4E-010
8680000000 2.59E-008 8E-010 4E-010
10000000000 1.81E-008 5E-010 2E-010
12100000000 1.13E-008 2E-010 2E-010
15900000000 5.89E-009 8E-011 8E-011
22100000000 2.52E-009 4E-011 4E-011
28800000000 1.24E-009 2E-011 2E-011
37600000000 5.91E-010 1.5E-011 1.5E-011
49100000000 2.85E-010 9E-012 9E-012
63900000000 1.38E-010 5E-012 5E-012
83100000000 7.1E-011 3E-012 3E-012
108000000000 3.31E-011 2E-012 2E-012
140000000000 1.38E-011 1.1E-012 1.1E-012
182000000000 7.4E-012 7E-013 7E-013
236000000000 3.6E-012 4E-013 4E-013
307000000000 1.7E-012 3E-013 3E-013




