# E F F_low F_up
# CREAM
# 
# E = E in eV
# F = Flux in (m^2 sr s ev)^-1
# F_low = lower error
# F_up = upper error
# 
3162300000000 3.72E-015 1E-016 1E-016
5020000000000 1.1E-015 4E-017 4E-017
7937300000000 3.19E-016 1.9E-017 1.9E-017
12649000000000 9.47E-017 8E-018 8E-018
20000000000000 2.8E-017 3.5E-018 3.5E-018
31623000000000 8.1E-018 1.5E-018 1.5E-018
50200000000000 2.2E-018 6E-019 6E-019
79373000000000 6.1E-019 2.2E-019 2.6E-019
126490000000000 1.8E-019 9E-020 1.2E-019
200000000000000 4.2E-020 3.4E-020 5.4E-020
