# E F F_up F_low
# Hires I Monocular 
#  
#  E = E in eV
#  F = Flux in (m^2 sr s ev)^-1
#  F_low = lower error
#  F_up = upper error
# 
3.50E+018 4.19686844920029E-032 2.3689100754848E-033 2.24217922120026E-033
4.44E+018 1.70352258720793E-032 1.33585469336761E-033 9.10105169209652E-034
5.64E+018 8.62752706626387E-033 6.12939929394511E-034 5.72207462534431E-034
6.98E+018 5.17044732376004E-033 2.91809553314764E-034 3.09713780585134E-034
8.76E+018 2.25159416074925E-033 1.76565890548489E-034 2.2025398217351E-034
1.11E+019 1.30949155123299E-033 1.22209113527778E-034 1.19966210002182E-034
1.39E+019 7.01748826114785E-034 8.14481074421753E-035 7.29815528475238E-035
1.73E+019 4.796125958212E-034 5.93522459470597E-035 4.69192789124655E-035
2.22E+019 1.90457731914678E-034 2.80221368780965E-035 2.556370077187E-035
2.78E+019 8.5265757304909E-035 1.52673191825027E-035 1.44223863118391E-035
3.49E+019 4.99919112851885E-035 1.10091563091238E-035 9.02241044673752E-036
4.48E+019 1.9579201895295E-035 6.00898041114925E-036 4.80216054387604E-036
5.48E+019 1.5707219150472E-035 4.96202462177604E-036 3.85243118508186E-036
6.97E+019 4.41896308838818E-036 2.48436905168027E-036 1.64796450851246E-036
8.86E+019 9.10688040766393E-037 1.20761131603907E-036 5.96367770796449E-037
1.11E+020 1.05893675096372E-036 1.03012454062482E-036 5.71343637091775E-037
1.39E+020 2.67011352589763E-037 6.20429642446079E-037 2.13790417451455E-037



