# E F F_up F_low
# Hires II Monocular
#  
#  E = E in eV
#  F = Flux in (m^2 sr s ev)^-1
#  F_low = lower error
#  F_up = upper error
# 
1.76E+017 6.78931650851847E-028 1.84341601863924E-028 1.41300082829948E-028
2.23E+017 2.64377631468439E-028 3.68239304747128E-029 2.91137817374938E-029
2.76E+017 1.37020024718427E-028 1.17620639075671E-029 1.08324309214086E-029
3.46E+017 6.80487985609984E-029 3.34883925378673E-030 3.19198270253177E-030
4.40E+017 3.23835046744965E-029 1.59378111350231E-030 1.30642040180912E-030
5.51E+017 1.58617499335395E-029 7.80641493196012E-031 6.39926792924799E-031
7.00E+017 7.09288319455284E-030 4.00349898216893E-031 3.32691698634783E-031
8.78E+017 3.30996843024074E-030 2.10904514263756E-031 1.55252440222465E-031
1.09E+018 1.72739401722243E-030 9.74990864680267E-032 9.22809129966569E-032
1.40E+018 7.30011674076734E-031 4.12030409909808E-032 4.37264983458949E-032
1.77E+018 3.62125866595254E-031 2.30723615491888E-032 2.16907078983598E-032
2.20E+018 1.64568394735917E-031 1.16912575272943E-032 1.30100396540355E-032
2.82E+018 7.10054137652079E-032 5.04433563316158E-033 4.25316300526511E-033
3.50E+018 3.73132598446438E-032 2.92617812753758E-033 2.94972932610968E-033
4.44E+018 1.70352258720793E-032 1.58966252431984E-033 1.56070152294434E-033
5.57E+018 1.10796852968532E-032 1.03394177409468E-033 1.15228032000367E-033
7.07E+018 4.46626115293498E-033 5.87265322469952E-034 5.46037338715558E-034
8.86E+018 2.88483825373615E-033 4.24444696684112E-034 3.70009175607753E-034
1.24E+019 1.07512413971494E-033 1.41374013270325E-034 7.81771080670697E-035
1.97E+019 3.23689699488139E-034 5.53487502870032E-035 4.34462025828015E-035
3.17E+019 7.64127942146362E-035 2.00828839988815E-035 1.63168327098951E-035
4.92E+019 2.06436634363827E-035 8.85340792017925E-036 6.19610461341995E-036
7.87E+019 1.0507336575189E-036 2.46553317110593E-036 0

