# E F F_up F_low
# Hires stereo
#  
#  E = E in eV
#  F = Flux in (m^2 sr s ev)^-1
#  F_low = lower error
#  F_up = upper error
# 
1.77E+018 3.61714644714827E-031 2.3083320457237E-032 1.69917640676281E-032
2.25E+018 1.57303028568226E-031 1.00383050199703E-032 5.31382929547443E-033
2.82E+018 8.13495017980637E-032 6.38936960528431E-033 4.35228875970832E-033
3.54E+018 3.47048844559076E-032 3.76914343313571E-033 1.6302344372508E-033
4.44E+018 2.13125959523782E-032 2.47761750029012E-033 1.14023539982977E-033
5.64E+018 9.65873516169309E-033 1.27205513655553E-033 6.41600890817878E-034
7.08E+018 5.06415406201405E-033 6.66949784530145E-034 4.64594814344406E-034
8.88E+018 2.49592224792983E-033 3.67813044307188E-034 2.4450305966895E-034
1.13E+019 1.28011658946631E-033 2.08979650220578E-034 1.41170154804252E-034
1.41E+019 6.9943328178262E-034 1.08605540574146E-034 8.98340376703179E-035
1.77E+019 4.66458911977332E-034 8.36579725082531E-035 5.99107710895566E-035
2.25E+019 2.54503394081798E-034 5.18973178015678E-035 3.72152223674141E-035
2.82E+019 1.62872721940865E-034 3.59268197199156E-035 2.47688593369721E-035
3.58E+019 6.43323144825234E-035 1.97775193156619E-035 1.30554386223973E-035
4.50E+019 2.65179937490386E-035 1.11332887961135E-035 7.32061209777848E-036
5.64E+019 1.9740931369984E-035 8.09603125467063E-036 5.54757378997829E-036
7.08E+019 4.76038161549133E-036 3.89613079403388E-036 2.26552863815988E-036
8.88E+019 1.90903766613056E-036 2.5677112298228E-036 1.23748099106334E-036
1.11E+020 6.35899681535246E-037 1.51068038759077E-036 5.07705869663966E-037




