# E F F_up F_low
# KASCADE with QGSJet-I (2005)
#  
#  E = E in eV
#  F = Flux in (m^2 sr s ev)^-1
#  F_low = lower error
#  F_up = upper error
# 
1778280000000000 6.5412E-022 2.51717E-023 2.51717E-023
2238720000000000 3.54278E-022 1.25184E-023 1.25184E-023
2818380000000000 1.80008E-022 7.52611E-024 7.52611E-024
3548130000000000 1.00715E-022 5.10354E-024 5.10354E-024
4466840000000000 4.90419E-023 2.67743E-024 2.67743E-024
5623410000000000 2.59363E-023 1.76061E-024 1.76061E-024
7079460000000000 1.19903E-023 1.04511E-024 1.04511E-024
8912510000000000 6.40908E-024 6.18142E-025 6.18142E-025
11220200000000000 2.81334E-024 3.54294E-025 3.54294E-025
14125400000000000 1.53773E-024 2.15605E-025 2.15605E-025
17782800000000000 6.24379E-025 1.34937E-025 1.34937E-025
22387200000000000 3.08781E-025 7.82886E-026 7.82886E-026
28183800000000000 1.98455E-025 4.47749E-026 4.47749E-026
35481300000000000 8.09639E-026 2.51782E-026 2.51782E-026
44668400000000000 4.2178E-026 1.16135E-026 1.16135E-026
56234100000000000 1.8258E-026 7.36918E-027 7.36918E-027
70794600000000000 1.36659E-026 3.98892E-027 3.98892E-027

