# E F F_up F_low
# PAMELA 
# 
# E = E in eV
# F = Flux in (m^2 sr s ev)^-1
# F_low = lower error
# F_up = upper error
# 
440384561.7 1.5844598773881E-006 5.46577244525E-008 5.46577244525E-008
477430676.5 1.550297184364E-006 5.34792439567E-008 5.34792439567E-008
515252903 1.5278794033961E-006 5.24349358235E-008 5.24349358235E-008
553792210.7 1.4866480996603E-006 5.14411107149E-008 5.14411107149E-008
600910003.9 0.000001443 5.05191357827E-008 5.05191357827E-008
648897602.2 1.4009330394789E-006 4.96525382576E-008 4.96525382576E-008
697678452.5 1.347603739977E-006 4.8887255241E-008 4.8887255241E-008
747183669.5 1.2927766150422E-006 4.82082899743E-008 4.82082899743E-008
805772921 1.2313172054382E-006 4.75089152965E-008 4.75089152965E-008
865176086.8 1.169722669293E-006 4.68509641305E-008 4.68509641305E-008
925315324.9 1.1122025013833E-006 4.63085938479E-008 4.63085938479E-008
986121617.8 1.052540337344E-006 4.58273085072E-008 4.58273085072E-008
1056353027.9 0.000000996 0.000000034 0.000000034
1136209246.9 9.328335640193E-007 3.36548859269E-008 3.36548859269E-008
1207866724.7 8.705770183462E-007 3.33743427327E-008 3.33743427327E-008
1289160524.1 8.13685379588E-007 3.30953848768E-008 3.30953848768E-008
1380241575 7.576932015607E-007 3.28206144489E-008 3.28206144489E-008
1472029875.3 7.025997005927E-007 2.17336928397E-008 2.17336928397E-008
1564447601.8 6.526857947754E-007 2.15900824132E-008 2.15900824132E-008
1666754115.1 6.018804261788E-007 2.14554561182E-008 2.14554561182E-008
1779046926.4 5.554496324343E-007 2.13229580746E-008 2.13229580746E-008
1891972438 5.099249962305E-007 2.12110143932E-008 2.12110143932E-008
2005457830.5 0.000000472 2.1109551158E-008 2.1109551158E-008
2128960058.4 4.343109534796E-007 0.000000021 0.000000021
2262538079.8 3.965111065482E-007 1.04728718277E-008 1.04728718277E-008
2406240422 3.623448033534E-007 1.04317381138E-008 1.04317381138E-008
2550473018.4 3.315087603483E-007 1.0395857242E-008 1.0395857242E-008
2704834610.6 3.031210958629E-007 1.03572411314E-008 1.03572411314E-008
2859662965.6 2.760529465456E-007 1.03279921085E-008 1.03279921085E-008
3034334829.8 2.501747660941E-007 9.271079598E-009 9.271079598E-009
3209462356.7 0.000000227 8.2185457036E-009 8.2185457036E-009
3394752473.9 2.057801352257E-007 8.2000669515E-009 8.2000669515E-009
3590216425.9 1.872616815416E-007 7.1617371482E-009 7.1617371482E-009
3893919287.4 1.607581585704E-007 6.1197175228E-009 6.1197175228E-009
4345923163.7 1.301674148599E-007 5.084759906E-009 5.084759906E-009
4838663743 1.052974320878E-007 4.0551166026E-009 4.0551166026E-009
5381995569.6 8.48396205266E-008 0.000000003 0.000000003
5985831598.2 0.000000068 0.000000003 0.000000003
6640274473.8 5.4478925273E-008 0.000000002 0.000000002
7355216746.2 4.33280316657E-008 0.000000002 0.000000002
8150533655.1 3.44037192121E-008 0.000000001 0.000000001
9016292742.3 2.72813916127E-008 0.000000001 0.000000001
9962433202.4 2.16101590099E-008 8.039822279E-010 8.039822279E-010
11008880094.8 0.000000017 6.026102617E-010 6.026102617E-010
12155641357.5 1.33543110936E-008 5.021902723E-010 5.021902723E-010
13412687927.8 1.05024587628E-008 4.013582762E-010 4.013582762E-010
14789995549.3 8.2747288686E-009 3.012061415E-010 3.012061415E-010
16307528232 6.4695767932E-009 2.012979776E-010 2.012979776E-010
17965286592.5 0.000000005 2.004969884E-010 2.004969884E-010
19783241372.1 3.9040019976E-009 2.004554872E-010 2.004554872E-010
21781371558.2 0.000000003 1.004856786E-010 1.004856786E-010
23969668377.4 2.3666788153E-009 9.03360803E-011 9.03360803E-011
26368115505.5 1.8280788944E-009 7.02984887E-011 7.02984887E-011
28996699664.4 1.4196971532E-009 5.02736873E-011 5.02736873E-011
31885405429.7 1.1074522954E-009 4.02164248E-011 4.02164248E-011
35044228168.9 8.492886215E-010 3.02762891E-011 3.02762891E-011
38513152632.1 6.531846518E-010 3.01585257E-011 3.01585257E-011
42322170411.1 5.091196934E-010 2.02287558E-011 2.02287558E-011
46491276233.1 3.970776606E-010 2.01039319E-011 2.01039319E-011
51070459350.4 3.010489666E-010 1.0199659E-011 1.0199659E-011
56079716053.9 2.330315355E-010 9.2207478E-012 9.2207478E-012
61579037229.9 1.780200388E-010 7.071896E-012 7.071896E-012
67608418170.5 1.410132034E-010 5.0994775E-012 5.0994775E-012
74227852912.1 1.103085894E-010 4.1003193E-012 4.1003193E-012
81477338038.5 8.31053827E-011 3.1050011E-012 3.1050011E-012
89426868416.9 6.33034105E-011 3.0595648E-012 3.0595648E-012
100406340957 4.59019662E-011 2.0396874E-012 2.0396874E-012
115425780636.4 3.12010137E-011 1.0440339E-012 1.0440339E-012
132665292788.8 2.09005151E-011 8.544211E-013 8.544211E-013
152454867969.8 1.42002655E-011 6.324718E-013 6.324718E-013
175184497836 9.5001347E-012 4.472163E-013 4.472163E-013
201274175558.2 6.4000689E-012 3.162334E-013 3.162334E-013
231223894901 4.170034E-012 2.154118E-013 2.154118E-013
265623650362.5 2.9700184E-012 1.220708E-013 1.220708E-013
305113437415.3 2.0200095E-012 1.029605E-013 1.029605E-013
358453224077.6 1.3200045E-012 6.70822284804084E-014 6.70822284804084E-014
450812973816.3 6.800015E-013 4.47210964029662E-014 4.47210964029662E-014
581522755282.3 3.800005E-013 3.6056E-014 3.6056E-014
748782586781.5 1.900001E-013 2.2361E-014 2.2361E-014
1009362435436.9 8.1E-014 1.2207E-014 1.2207E-014
