# E F F_up F_low
# Tunka
# 
# E = E in eV
# F = Flux in (m^2 sr s ev)^-1
# F_low = lower error
# F_up = upper error
# 
283036000000000000 1.8117665179205E-028 2.60432312999378E-030 2.60476416693362E-030
317177000000000000 1.24121851764922E-028 2.03582739952714E-030 1.85060972817239E-030
349834000000000000 8.97511994283013E-029 1.24141566529369E-030 1.37922097903279E-030
383975000000000000 6.68366593230466E-029 1.04324087669913E-030 9.38846132688114E-031
416632000000000000 5.12608499636607E-029 8.16649258696307E-031 7.35067297532947E-031
450773000000000000 4.09269440459927E-029 5.80269285528001E-031 7.09205885002795E-031
484914000000000000 3.28785006529261E-029 5.17963639811416E-031 5.17875938551712E-031
517571000000000000 2.72963415764411E-029 4.25902411142367E-031 5.11155019096692E-031
550227000000000000 2.25783133947903E-029 4.60856638266806E-031 4.96334855437011E-031
584368000000000000 1.92333917073518E-029 3.55142914913415E-031 2.95910669192001E-031
617025000000000000 1.69676378165773E-029 3.01642732231294E-031 2.76569691124288E-031
651166000000000000 1.42444796565682E-029 2.7804583375322E-031 2.99450690826057E-031
683823000000000000 1.26510977437134E-029 2.95466857211448E-031 3.50913802367659E-031
716480000000000000 1.05658390655552E-029 3.53235054861128E-031 3.85344860879524E-031
750621000000000000 9.00765090797171E-030 3.909687699684E-031 4.04942918323485E-031
784762000000000000 7.85840131036567E-030 4.15438320535663E-031 4.52123854070366E-031
817419000000000000 6.35933733319284E-030 4.86563009070833E-031 5.51431973930211E-031
850076000000000000 6.2313428359238E-030 4.9992695244385E-031 5.67191627386803E-031
900545000000000000 4.23902968557703E-030 4.85167461324446E-031 5.90285024065048E-031
967343000000000000 3.81852010254773E-030 5.48015357173392E-031 7.24165517842055E-031
1034140000000000000 2.77862669027384E-030 7.26204028028738E-031 1.16406938644646E-030


