# E F F_up F_low
# Tunka
#  
#  E = E in eV
#  F = Flux in (m^2 sr s ev)^-1
#  F_low = lower error
#  F_up = upper error
# 
4.3947E+015 5.05522452302771E-023 2.88772351969163E-024 3.39080713572932E-024
5.5901E+015 2.52532749952917E-023 1.812392180149E-024 1.36416000167249E-024
7.0058E+015 1.28293080650269E-023 5.43836561672035E-025 9.41680634595752E-025
8.6537E+015 6.26360330719409E-024 3.01830653811722E-025 3.8901588868065E-025
1.1015E+016 2.81416675980979E-024 1.80926754193567E-025 1.70002309978406E-025
1.4019E+016 1.29138232066951E-024 7.35703193928359E-026 6.96141453356976E-026
1.7575E+016 6.24362518898722E-025 3.55710162268669E-026 3.77262771789869E-026
2.2031E+016 3.06170101720078E-025 1.52528615994822E-026 1.8507304172517E-026
2.8019E+016 1.5732346743492E-025  8.97406590523413E-027 9.53324022455721E-027
3.5120E+016 7.82454879862859E-026 4.46932391400984E-027 4.22231066049793E-027
4.4002E+016 4.14739647882987E-026 2.36162385107989E-027 2.51186632271917E-027
5.6013E+016 1.85002324518891E-026 1.33949148596663E-027 1.35542426489911E-027
7.0087E+016 1.20381494699636E-026 1.05989160130045E-027 9.01009522399011E-028
8.7773E+016 6.84829682608224E-027 6.37965676385123E-028 6.78189752411262E-028
1.1036E+017 2.09104782831416E-027 3.74745887398364E-028 3.03843995262044E-028
1.4018E+017 1.30970127247777E-027 2.07652833621777E-028 2.09722101369406E-028
1.7582E+017 5.8996523019132E-028  1.38747163601208E-028 1.22077633005439E-028
2.2001E+017 3.78526517140682E-028 9.11408393581766E-029 9.21268055783095E-029
2.7560E+017 2.07836345851652E-028 6.06450090924845E-029 5.99045619550811E-029
3.4575E+017 8.97415744758992E-029 3.60059881200887E-029 3.42785136195012E-029
4.3953E+017 4.94916369630748E-029 2.23421341335069E-029 2.24127960937625E-029
5.5500E+017 7.77344181288666E-030 8.14371712837746E-030 0
8.7960E+017 4.91181203961002E-030 5.1457428370809E-030 0




